donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,trabajo_de,anos_de_experiencia,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,tengo_edad,me_identifico_genero,seniority
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),800000,QA / Tester,2,"Docker, SAP","Java, Javascript","Node.js, React.js",MySQL,"Cucumber, Cypress, Postman, Selenium, SoapUI",27,Mujer Cis,Junior
La Rioja,Full-Time,Staff (planta permanente),1024098,DBA (Database Administrator),8,"Amazon Web Services, VMWare, Windows Server",Java,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,37,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),2980000,Technical Leader,18,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,"Appium, Cucumber, Postman, SoapUI",45,Hombre Cis,Senior
Salta,Full-Time,Staff (planta permanente),1200000,Developer,3,Azure,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap, jQuery",Oracle,Ninguna de las anteriores,35,Hombre Cis,Semi-Senior
La Rioja,Full-Time,Staff (planta permanente),2500000,Developer,5,"Amazon Web Services, Docker, Serverless",Javascript,Node.js,PostgreSQL,Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),2600000,Developer,9,"Azure, Docker, IBM Cloud / Watson, Kubernetes, OpenShift",Java,Spring,"Microsoft SQL Server, MongoDB, Datagrid by RedHat","JUnit, Postman",38,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),950000,Developer,5,"Amazon Web Services, Docker, Kubernetes",".NET, C#, CSS, HTML, Javascript, PHP, SQL",".NET Core, Bootstrap, jQuery","MariaDB, Microsoft SQL Server, MySQL",Postman,35,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,2088000,Developer,5,SAP,"HTML, Javascript","jQuery, Node.js, SAP, SAP Hana",HANA,Ninguna de las anteriores,39,Mujer Cis,Semi-Senior
Buenos Aires,Part-Time,Contractor,174000,Developer,0,Azure,"CSS, HTML, Javascript, TypeScript",Next.js,MySQL,Ninguna de las anteriores,19,Hombre Cis,Junior
Entre Ríos,Full-Time,Staff (planta permanente),975000,Developer,4,"Azure, Docker, Linux, Windows Server",".NET, Javascript, PHP, SQL","Angular, Bootstrap, Node.js, React.js",PostgreSQL,Ninguna de las anteriores,32,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2150000,Developer,0,"Amazon Web Services, Azure, Linux","Javascript, TypeScript",Node.js,PostgreSQL,Postman,40,Hombre Cis,Junior
San Juan,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1148034,Developer,4,IBM Cloud / Watson,"CSS, HTML, Javascript","Node.js, React.js","IBM Db2, Cloudant DB",Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1730942,Business Analyst,15,"Amazon Web Services, Mainframe",COBOL,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,46,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4100000,Infosec,15,"Azure, SAP","C#, HTML, SQL",WordPress,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,36,Hombre Cis,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2090000,Technical Leader,5,"Azure, Docker, Firebase, Kubernetes, Linux","Java, Javascript","React.js, Spring",MongoDB,"Ninguna de las anteriores, ",27,Hombre Cis,Semi-Senior
Jujuy,Full-Time,Staff (planta permanente),1275000,BI Analyst / Data Analyst,4,Windows Server,SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,39,Mujer Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1297220,Developer,4,"Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, CSS, HTML, Java, Javascript, SQL, TypeScript","Next.js, Node.js, React.js, Quarkus",MySQL,"Jest, Postman, Playwright",31,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),1600000,Developer,5,"Docker, OpenShift",".NET, C#, SQL",.NET Core,Microsoft SQL Server,"NUnit, Xunit",33,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4400000,Architect,20,"Azure, Docker, Kubernetes, OpenShift",".NET, Bash/Shell, C#, HTML, Javascript, Rust, SQL",.NET Core,"MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, Oracle, PostgreSQL, Redis, SQLite","Cucumber, JUnit, Postman, Selenium, SoapUI, Xunit",43,Hombre Cis,Senior
Entre Ríos,Full-Time,Staff (planta permanente),216000,Data Scientist,5,Azure,"Bash/Shell, Python, SQL",Spark,Microsoft SQL Server,Postman,26,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1765000,Manager / Director,15,"Docker, Google Cloud Platform, Kubernetes, Linux, VMWare, Windows Server",".NET, CSS, HTML, Java, Javascript, PHP, TypeScript",".NET Core, Angular, Next.js, Node.js, React.js, Spark","IBM Db2, Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB, MySQL, Oracle","Postman, Selenium, Visual Studio Coded UI",48,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000,Data Scientist,1,"Amazon Web Services, Docker, Linux","Python, SQL","TensorFlow, Torch",Ninguna de las anteriores,Ninguna de las anteriores,24,Mujer Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),2000000,Manager / Director,8,"Google Cloud Platform, Linux, Windows Server","Bash/Shell, CSS, HTML, Java, PHP, Python, SQL","Bootstrap, HTMX, jQuery, Laravel","MariaDB, MongoDB, MySQL",Ninguna de las anteriores,30,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100000,Developer,3,Azure,".NET, CSS, HTML, SQL",.NET Core,"MySQL, Oracle",Ninguna de las anteriores,36,No binarie,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000,Technical Leader,8,"Amazon Web Services, Azure, Linux, Windows Server",SQL,Ninguno de los anteriores,Oracle,"Postman, SoapUI",34,Hombre Cis,Senior
Neuquén,Full-Time,Contractor,1850000,Developer,5,"Azure, Docker","CSS, HTML, Javascript, Python, SQL, TypeScript","Django, Vue.js","Microsoft SQL Server, MongoDB",Postman,32,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4100000,Manager / Director,26,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Serverless","CSS, Groovy, Java, Javascript, Kotlin, SQL","Node.js, React.js, Spring","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, MongoDB, PostgreSQL, Redis","Appium, Cypress, Mocha, Postman, Puppeteer, Selenium",47,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000,Infosec,6,"Linux, VMWare, Windows Server, SIEM",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,31,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),810000,Developer,2,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP, TypeScript, ASP Classic","Bootstrap, Ninguno de los anteriores","Informix, MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,35,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),650000,Developer,3,Azure,"CSS, HTML, Java, Javascript, Kotlin, SQL, TypeScript","Cordova, Next.js, Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server","Postman, Visual Studio Coded UI",32,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),2710145.95,Networking,18,"Azure, Windows Server",Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,38,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1798591,Business Analyst,3,SAP,"Javascript, SQL",Node.js,"Google Cloud Storage, Microsoft SQL Server, Oracle",Ninguna de las anteriores,27,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000,Infosec,4,"Linux, VMWare, Windows Server",Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,37,Hombre Cis,Semi-Senior
Buenos Aires,Part-Time,Staff (planta permanente),800000,Manager / Director,25,"Amazon Web Services, Docker, Linux, VMWare, Windows Server","Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL, Visual FOX","Bootstrap, Flask, Next.js, Node.js, React.js, WordPress","MariaDB, Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Postman,44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1766875,BI Analyst / Data Analyst,8,"SAP, Salesforce, PBI",Dax,Ninguno de los anteriores,"Sap Themis, Salesforce",Ninguna de las anteriores,29,Mujer Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1400000,SysAdmin / DevOps / SRE,14,"Azure, Linux, SAP, VMWare, Windows Server",SQL,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,48,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),2100000,SysAdmin / DevOps / SRE,3,"Serverless, VMWare, Windows Server","Bash/Shell, HTML, Java, Javascript, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon HBase, Amazon RDS/Aurora, Google Cloud Storage, Microsoft SQL Server, PostgreSQL, SQLite",Ninguna de las anteriores,27,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000,Infosec,18,"AIX, Docker, Linux, SAP, VMWare, Windows Server, Ninguna de las anteriores",Ninguno de los anteriores,Ninguno de los anteriores,"IBM Db2, Microsoft SQL Server",Ninguna de las anteriores,44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),890000,Developer,5,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP, SQL","Bootstrap, Django, Drupal, Node.js, React.js, WordPress","MongoDB, MySQL","Postman, Selenium",53,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000,BI Analyst / Data Analyst,3,Firebase,Ninguno de los anteriores,Ninguno de los anteriores,"PostgreSQL, Ninguna de las anteriores",Ninguna de las anteriores,38,Hombre Cis,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),1103000,Developer,3,Azure,".NET, C#, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, SQLite",Ninguna de las anteriores,37,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),900000,Architect,5,"AIX, Amazon Web Services, Azure, Docker, IBM Cloud / Watson, Linux, Serverless, VMWare",".NET, Bash/Shell, HTML, Javascript, PHP, Python",".NET Core, Django, jQuery, Laravel, Node.js","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, ProxySQL","Postman, Visual Studio Coded UI",37,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1542458,Developer,2,Azure,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap, Node.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguna de las anteriores,38,Mujer Cis,Junior
Entre Ríos,Full-Time,Contractor,1610000,Developer,3,VMWare,"HTML, Java, Javascript, TypeScript","Angular, Bootstrap, Rails, React.js, Spring",Ninguna de las anteriores,"Jest, JUnit, Postman",28,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,SysAdmin / DevOps / SRE,25,Windows Server,Swift,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,45,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),397000,HelpDesk,4,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,40,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),3000000,QA / Tester,5,Kubernetes,".NET, C#, Java",.NET Core,MongoDB,"Postman, TestNg",28,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,294000,Functional Analyst,7,"Linux, Windows Server",".NET, Bash/Shell, C#, SQL",Ninguno de los anteriores,"Microsoft SQL Server, MongoDB, Oracle",Ninguna de las anteriores,35,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2605000,SysAdmin / DevOps / SRE,14,"Docker, Kubernetes, Linux, OpenShift, VMWare","C#, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,34,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1085000,Business Analyst,10,"Azure, Windows Server",SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,32,Mujer Cis,Senior
Neuquén,Full-Time,Staff (planta permanente),1428362,Manager / Director,15,"Linux, Windows Server",Python,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,42,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),1972100,Technical Leader,5,"Azure, Docker, Kubernetes, Linux","Bash/Shell, Python",fastapi,"MongoDB, SQLite",pytest,27,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),975000,Manager / Director,1,"Azure, Kubernetes, SAP",Ninguno de los anteriores,SAP,MySQL,Postman,37,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000,Manager / Director,8,Ninguna de las anteriores,".NET, C#, Go, Java, SQL",".NET Core, Bootstrap, Hibernate, jQuery","ElasticSearch, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis","Cucumber, Cypress, NUnit, Selenium",30,Mujer Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),1200000,SysAdmin / DevOps / SRE,23,"Docker, Linux, proxmox, ceph","Bash/Shell, HTML",WordPress,"MySQL, PostgreSQL",Ninguna de las anteriores,62,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2650000,Developer,20,"Azure, Docker, Firebase, Linux","Bash/Shell, C++, Elixir, Erlang, Java, Javascript, Objective-C, SQL, TypeScript","Hibernate, Node.js, React.js, Spring","MariaDB, Microsoft SQL Server, MySQL","Appium, Jest, JUnit, Mocha, Selenium",38,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000,Developer,3,Docker,"CSS, HTML, Javascript, PHP, SQL","Bootstrap, CodeIgniter, jQuery, Laravel, Node.js, React.js, Symfony",Microsoft SQL Server,Jest,25,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1500000,Developer,3,"Amazon Web Services, Azure, Docker, Linux, Serverless","Bash/Shell, Javascript, SQL, TypeScript",Node.js,"Amazon DynamoDB, ElasticSearch, Microsoft SQL Server, MySQL, Redis",Jest,27,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,1479820.41,UX Designer,4,Ninguna de las anteriores,"CSS, HTML",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,33,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000,Developer,14,Windows Server,".NET, SQL, VBA",.NET Core,Microsoft SQL Server,"Postman, Ninguna de las anteriores",36,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1490433,Developer,3,Amazon Web Services,"Java, Javascript, SQL","Hibernate, jQuery, Spring",MySQL,Postman,29,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2318015,Developer,5,"Docker, Serverless",Go,React.js,"ElasticSearch, Redis","Cucumber, Postman",34,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1880940,Networking,7,"Orquestador Velocloud SD-WAN, Aruba Central, Aruba Airwave, Cisco Prime","Cisco CLI, Aruba CLI",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,29,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000,SysAdmin / DevOps / SRE,3,"Amazon Web Services, Docker, Kubernetes, Linux, OpenShift, SAP, Windows Server, Splunk","Bash/Shell, HTML, Java, Python, SQL","jQuery, Spark","Amazon Redshift, Microsoft SQL Server, MySQL, Oracle, PostgreSQL","JUnit, Postman, Selenium, SoapUI",34,Mujer Cis,Semi-Senior
Santa Cruz,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1300000,Developer,15,"Docker, Linux, Windows Server",".NET, C#, HTML, Javascript, PHP, SQL",".NET Core, Next.js, Node.js, React.js","Microsoft SQL Server, PostgreSQL","Postman, SoapUI",34,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000,Developer,4,Ninguna de las anteriores,"Java, Javascript, SQL",Node.js,"Microsoft SQL Server, MongoDB",Ninguna de las anteriores,25,Mujer Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),670000,QA / Tester,1,Ninguna de las anteriores,Javascript,Ninguno de los anteriores,PostgreSQL,Visual Studio Coded UI,27,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),300000,Developer,1,Linux,"Rust, Solidity",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,23,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1301828,UX,24,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP","Bootstrap, jQuery, React.js, WordPress, Ionic",Ninguna de las anteriores,Ninguna de las anteriores,56,Gay,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),750000,Finance,5,"Azure, SAP",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,37,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1756027,Developer,4,Ninguna de las anteriores,Kotlin,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,25,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),560000,BI Analyst / Data Analyst,1,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"Microsoft SQL Server, Ninguna de las anteriores",Ninguna de las anteriores,22,Mujer Cis,Junior
La Pampa,Full-Time,Staff (planta permanente),766222,Developer,30,"Linux, VMWare","Bash/Shell, HTML, Javascript, PHP, SQL","Bootstrap, jQuery, Laravel, WordPress",MySQL,Ninguna de las anteriores,57,Hombre Cis,Senior
Buenos Aires,Full-Time,Participación societaria en una cooperativa,1300000,Manager / Director,25,"Arduino o similar, Linux","Bash/Shell, Javascript, Python","Django, Node.js","MongoDB, MySQL",Ninguna de las anteriores,46,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000,Manager / Director,6,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,29,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2345000,Developer,20,"Amazon Web Services, Docker, Kubernetes, Linux, Solaris, Windows Server","CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Bootstrap, Django, Flask, jQuery, Laravel, Next.js, Node.js, React.js, Vue.js","Amazon DynamoDB, Cassandra, ElasticSearch, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB, MySQL, Redis, SQLite","JUnit, PHPUnit, Postman",52,Hombre Cis,Senior
Córdoba,Part-Time,Staff (planta permanente),634000,BI Analyst / Data Analyst,2,"Amazon Web Services, Docker, Linux","Javascript, Python, SQL","Bootstrap, Node.js, React.js","Microsoft SQL Server, MySQL, Oracle, PostgreSQL, Redis, SQLite",Ninguna de las anteriores,36,Hombre Cis,Junior
Entre Ríos,Full-Time,Staff (planta permanente),542168,Developer,0,"Azure, Docker, Kubernetes",".NET, C#, HTML, TypeScript",".NET Core, Angular",Microsoft SQL Server,"Jest, JUnit, Xunit",25,Mujer Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),1052000,Developer,2,Linux,"CSS, HTML, Java, SQL, TypeScript","Angular, Hibernate, Node.js, Spring, WordPress",PostgreSQL,Postman,27,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),880000,SysAdmin / DevOps / SRE,12,"Azure, Docker, Linux, VMWare, Windows Server",Bash/Shell,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,33,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1129079.4,Developer,2,Ninguna de las anteriores,"C#, SQL, VBA",".NET Core, jQuery",Microsoft SQL Server,Ninguna de las anteriores,31,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000,Technical Leader,15,VMWare,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,45,Hombre Cis,Senior
Córdoba,Part-Time,Staff (planta permanente),1484338,Architect,4,"Amazon Web Services, Docker, Google Cloud Platform, Linux","CSS, HTML, Javascript, Python, SQL","Flask, Node.js, React.js, TensorFlow, Torch","ElasticSearch, PostgreSQL, Redis, RabbitMQ",pytest,29,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1050000,Developer,4,Ninguna de las anteriores,"CSS, HTML, Java, Javascript, SQL","Node.js, React.js",Microsoft SQL Server,"Postman, SoapUI",32,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),3700000,Infosec,10,"Linux, Windows Server",Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,44,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,1716875,SysAdmin / DevOps / SRE,6,"Amazon Web Services, Linux","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora",Ninguna de las anteriores,29,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,660000,SysAdmin / DevOps / SRE,10,"Docker, Linux, OpenShift, F5","Bash/Shell, C, Javascript, Python","jQuery, Node.js","MySQL, Oracle, PostgreSQL, Redis",Ninguna de las anteriores,30,Trans,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4250000,Technical Leader,35,"Amazon Web Services, Azure, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, OpenShift, SAP, VMWare, Windows Server",".NET, ABAP, C#, HTML, Java, Javascript, Python, SQL",".NET Core, Next.js, Node.js, SAP, SAP Hana, TensorFlow","Amazon DynamoDB, ElasticSearch, HANA, Microsoft Azure (Tables, CosmosDB, SQL, etc), Oracle, Redis, Teradata","Appium, Cucumber, JUnit, Postman, Selenium, SoapUI, TFS, pytest",56,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,BI Analyst / Data Analyst,3,"Amazon Web Services, Google Cloud Platform",Python,Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage",Ninguna de las anteriores,31,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),406000,Developer,0,Ninguna de las anteriores,"HTML, Javascript, PHP, TypeScript","Angular, Laravel, Node.js, React.js",MySQL,Ninguna de las anteriores,19,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),1600000,Developer,3,"Azure, Windows Server",".NET, C#, Python, SQL, TypeScript",".NET Core, Angular, Bootstrap","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,27,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),380167,Developer,2,"Amazon Web Services, Docker, Microcontroladores","Javascript, TypeScript",Node.js,"MySQL, Redis","Jest, Postman",25,Hombre Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),1400000,DBA (Database Administrator),4,"Amazon Web Services, Azure, VMWare, Windows Server",".NET, C#, SQL",".NET Core, Node.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL",Visual Studio Coded UI,36,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,1590000,Developer,20,"Linux, Windows Server","Bash/Shell, CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, jQuery","MariaDB, Microsoft SQL Server, MySQL",SoapUI,47,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),2668138.2,Manager / Director,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,29,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000,Functional Analyst,14,"Azure, Linux, VMWare, Windows Server",SQL,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Oracle, PostgreSQL",Ninguna de las anteriores,38,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,SysAdmin / DevOps / SRE,10,"Azure, Docker, Google Cloud Platform, Linux, VMWare, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,33,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1670000,Technical Leader,15,"Amazon Web Services, Linux, Mainframe, SAP","Bash/Shell, Kotlin, Python, Edi",SAP,Ninguna de las anteriores,Ninguna de las anteriores,34,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),1261325,SysAdmin / DevOps / SRE,7,"Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MySQL",Ninguna de las anteriores,44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4404000,Scrum Master,1,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,41,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),700000,SysAdmin / DevOps / SRE,20,"VMWare, Windows Server",".NET, Javascript, SQL",".NET Core, Vue.js, WordPress","MariaDB, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,40,Hombre Cis,Senior
